start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1779062400,1779062460,2026-05-18T00:00:00+00:00,2026-05-18T00:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1779062460,1779062520,2026-05-18T00:01:00+00:00,2026-05-18T00:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1779062520,1779062580,2026-05-18T00:02:00+00:00,2026-05-18T00:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1779062580,1779062640,2026-05-18T00:03:00+00:00,2026-05-18T00:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1779062640,1779062700,2026-05-18T00:04:00+00:00,2026-05-18T00:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1779062700,1779062760,2026-05-18T00:05:00+00:00,2026-05-18T00:06:00+00:00,,,,,,,,,,,,,,,,,,,,
1779062760,1779062820,2026-05-18T00:06:00+00:00,2026-05-18T00:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1779062820,1779062880,2026-05-18T00:07:00+00:00,2026-05-18T00:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1779062880,1779062940,2026-05-18T00:08:00+00:00,2026-05-18T00:09:00+00:00,,,,,,,,,,,,,,,,,,,,
1779062940,1779063000,2026-05-18T00:09:00+00:00,2026-05-18T00:10:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063000,1779063060,2026-05-18T00:10:00+00:00,2026-05-18T00:11:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063060,1779063120,2026-05-18T00:11:00+00:00,2026-05-18T00:12:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063120,1779063180,2026-05-18T00:12:00+00:00,2026-05-18T00:13:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063180,1779063240,2026-05-18T00:13:00+00:00,2026-05-18T00:14:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063240,1779063300,2026-05-18T00:14:00+00:00,2026-05-18T00:15:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063300,1779063360,2026-05-18T00:15:00+00:00,2026-05-18T00:16:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063360,1779063420,2026-05-18T00:16:00+00:00,2026-05-18T00:17:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063420,1779063480,2026-05-18T00:17:00+00:00,2026-05-18T00:18:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063480,1779063540,2026-05-18T00:18:00+00:00,2026-05-18T00:19:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063540,1779063600,2026-05-18T00:19:00+00:00,2026-05-18T00:20:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063600,1779063660,2026-05-18T00:20:00+00:00,2026-05-18T00:21:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063660,1779063720,2026-05-18T00:21:00+00:00,2026-05-18T00:22:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063720,1779063780,2026-05-18T00:22:00+00:00,2026-05-18T00:23:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063780,1779063840,2026-05-18T00:23:00+00:00,2026-05-18T00:24:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063840,1779063900,2026-05-18T00:24:00+00:00,2026-05-18T00:25:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063900,1779063960,2026-05-18T00:25:00+00:00,2026-05-18T00:26:00+00:00,,,,,,,,,,,,,,,,,,,,
1779063960,1779064020,2026-05-18T00:26:00+00:00,2026-05-18T00:27:00+00:00,,,,,,,,,,,,,,,,,,,,
1779064020,1779064080,2026-05-18T00:27:00+00:00,2026-05-18T00:28:00+00:00,,,,,,,,,,,,,,,,,,,,
1779064080,1779064140,2026-05-18T00:28:00+00:00,2026-05-18T00:29:00+00:00,,,,,,,,,,,,,,,,,,,,
1779064140,1779064200,2026-05-18T00:29:00+00:00,2026-05-18T00:30:00+00:00,,,,,,,,,,,,,,,,,,,,
1779064200,1779064260,2026-05-18T00:30:00+00:00,2026-05-18T00:31:00+00:00,,,,,,,,,,,,,,,,,,,,
1779064260,1779064320,2026-05-18T00:31:00+00:00,2026-05-18T00:32:00+00:00,,,,,,,,,,,,,,,,,,,,
1779064320,1779064380,2026-05-18T00:32:00+00:00,2026-05-18T00:33:00+00:00,,,,,,,,,,,,,,,,,,,,
