csv_row,conv_id,submitted_at,id_num,nth_for_id,matched_dir,matched_variant,matched_start,match_status
0,T30,2026-05-15 15:43:01+02:00,30,0,2026-05-18/student30_streamingB_104429,B,2026-05-18 10:44:29+02:00,matched
1,T01,2026-05-18 09:09:55+02:00,1,0,2026-05-18/student1_streamingA_090314,A,2026-05-18 09:03:14+02:00,matched
2,T08,2026-05-18 09:27:21+02:00,8,0,2026-05-18/student8_streamingB_091946,B,2026-05-18 09:19:46+02:00,matched
3,T07,2026-05-18 09:31:45+02:00,7,0,2026-05-18/student7_streamingA_091842,A,2026-05-18 09:18:42+02:00,matched
4,T14,2026-05-18 10:16:30+02:00,14,0,2026-05-18/student14_streamingB_100523,B,2026-05-18 10:05:23+02:00,matched
5,T30,2026-05-18 10:51:05+02:00,30,1,,,,no_session
6,T33,2026-05-18 11:01:50+02:00,33,0,2026-05-18/student33_streamingA_113146,A,2026-05-18 11:31:46+02:00,matched
7,T33,2026-05-18 11:42:04+02:00,33,1,,,,no_session
8,T34,2026-05-18 11:43:18+02:00,34,0,2026-05-18/student34_streamingB_113424,B,2026-05-18 11:34:24+02:00,matched
9,T38,2026-05-18 12:08:05+02:00,38,0,2026-05-18/student38_streamingB_115644,B,2026-05-18 11:56:44+02:00,matched
10,T34,2026-05-18 12:08:15+02:00,34,1,2026-05-18/student34_streamingB_114816,B,2026-05-18 11:48:16+02:00,matched
11,T40,2026-05-18 12:17:25+02:00,40,0,2026-05-18/student40_streamingB_120610,B,2026-05-18 12:06:10+02:00,matched
12,T44,2026-05-18 14:26:30+02:00,44,0,2026-05-18/student44_streamingB_141601,B,2026-05-18 14:16:01+02:00,matched
13,T45,2026-05-18 14:41:03+02:00,45,0,2026-05-18/student45_streamingA_143115,A,2026-05-18 14:31:15+02:00,matched
14,T45,2026-05-18 14:52:59+02:00,45,1,2026-05-18/student45_streamingA_143846,A,2026-05-18 14:38:46+02:00,matched
15,T47,2026-05-18 15:09:10+02:00,47,0,,,,no_session
16,T47,2026-05-18 15:25:43+02:00,47,1,,,,no_session
17,T49,2026-05-18 15:28:51+02:00,49,0,2026-05-18/student49_streamingA_152026,A,2026-05-18 15:20:26+02:00,matched
18,T49,2026-05-18 15:39:46+02:00,49,1,2026-05-18/student49_streamingB_153328,B,2026-05-18 15:33:28+02:00,matched
19,T50,2026-05-18 16:26:49+02:00,50,0,2026-05-18/student50_streamingA_161803,A,2026-05-18 16:18:03+02:00,matched
20,T52,2026-05-18 16:32:53+02:00,52,0,2026-05-18/student52_streamingA_162615,A,2026-05-18 16:26:15+02:00,matched
21,T58,2026-05-18 17:16:23+02:00,58,0,2026-05-18/student58_streamingA_170456,A,2026-05-18 17:04:56+02:00,matched
22,T61,2026-05-18 17:23:30+02:00,61,0,2026-05-18/student61_streamingA_171817,A,2026-05-18 17:18:17+02:00,matched
23,T63,2026-05-18 17:28:32+02:00,63,0,2026-05-18/student63_streamingB_173931,B,2026-05-18 17:39:31+02:00,matched
24,T63,2026-05-18 17:35:44+02:00,63,1,,,,no_session
25,K01,2026-05-18 20:16:35+02:00,1,1,,,,no_session
